"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b2411",365,372,327,436,293,357
"b2412",1146,1147,1050,1610,1077,1385
"b2413",146,144,147,257,201,213
"b2414",9210,9093,6816,24723,18558,18914
"b2415",3021,3068,2773,5172,3563,4143
"b2416",11190,12588,12357,16392,11262,13341
"b2417",3700,4084,4306,5044,3621,4175
"b2418",323,341,384,763,550,631
"b2419",28,19,16,58,39,41
"b2420",201,205,127,252,188,208
"b2421",1166,1071,711,982,683,884
"b2422",1199,1258,821,2376,1676,1729
"b2423",643,636,367,1025,732,763
"b2424",538,466,311,802,544,679
"b2425",1373,1038,835,2588,1695,1923
"b2426",179,215,180,316,248,306
"b2427",23,39,27,38,18,23
"b2428",25,44,52,61,42,43
"b2429",50,51,39,81,35,61
"b2430",39,52,55,68,37,55
"b2431",450,442,476,562,436,530
"b2432",168,228,187,396,285,357
"b2433",76,79,59,119,71,90
"b2434",104,101,89,146,115,116
"b2435",219,231,197,333,279,276
"b2436",191,201,156,297,239,235
"b2437",79,102,75,178,121,152
"b2438",65,72,54,100,97,86
"b2439",57,87,88,175,109,119
"b2440",136,128,131,246,165,212
"b2441",695,758,663,1369,883,1051
"b2442",227,287,190,314,229,257
"b2443",29,44,39,82,52,51
"b2444",6,4,0,11,4,8
"b2445",6,12,4,9,1,7
"b2446",12,29,16,13,21,15
"b2447",15,28,16,31,16,24
"b2448",17,20,8,20,6,12
"b2449",63,58,92,100,74,91
"b2450",223,230,255,344,241,295
"b2451",22,12,17,27,12,9
"b2452",12,18,10,13,9,23
"b2453",11,12,10,12,14,14
"b2454",8,10,5,7,8,9
"b2455",9,16,6,17,2,12
"b2456",7,5,0,3,1,3
"b2457",14,23,13,26,15,31
"b2458",17,32,10,22,21,13
"b2459",13,21,7,12,9,22
"b2460",11,9,10,9,3,15
"b2461",10,4,3,9,8,9
"b2462",5,2,2,7,2,4
"b2463",2480,2651,2585,3681,2435,3501
"b2464",854,674,760,588,392,429
"b2465",2123,1764,1805,1381,914,1005
"b2466",158,121,111,153,113,143
"b2467",119,140,121,253,199,221
"b2468",53,47,34,86,40,63
"b2469",108,105,100,148,101,149
"b2470",82,83,83,158,98,161
"b4606",9,15,16,30,21,22
"b2471",143,133,153,158,106,174
"b2472",407,417,406,515,353,493
"b4547",97,103,89,148,100,110
"b2473",112,160,101,211,179,209
"b2474",382,361,281,412,304,327
"b2475",317,312,307,421,287,357
"b2476",1379,1580,1330,4263,3090,3581
"b2477",1771,1974,1711,3149,2348,2658
"b2478",2310,2346,2209,4096,2920,3582
"b2479",539,442,468,820,584,770
"b2480",1295,1147,1044,2074,1402,1856
"b2481",7,6,3,3,0,2
"b2482",18,15,12,32,22,20
"b2483",5,7,6,8,4,7
"b2484",7,11,12,13,8,12
"b2485",1,6,5,6,1,4
"b2486",19,16,17,22,28,26
"b2487",39,27,24,50,26,32
"b2488",24,15,14,24,19,14
"b2489",22,18,21,32,21,23
"b2490",9,10,6,18,17,10
"b2491",37,38,32,54,44,40
"b2492",62,79,50,112,94,98
"b2493",130,134,160,340,244,277
"b2494",638,667,591,1224,790,969
"b2495",484,542,432,908,597,744
"b2496",329,279,221,367,276,331
"b2497",664,627,419,251,257,276
"b2498",872,792,695,647,574,686
"b2499",1425,1426,1162,2044,1600,1833
"b2500",1022,1027,687,1302,936,1057
"b2501",779,911,814,1395,900,1196
"b2502",619,663,622,1022,691,844
"b2503",45,56,40,110,55,69
"b2504",188,149,143,389,203,293
"b2505",5,4,7,17,4,6
"b2506",12,14,13,21,15,14
"b2507",3600,3778,2987,5304,4330,4470
"b2508",2821,2636,2173,3473,2855,2867
"b2509",813,750,678,1341,936,1090
"b2510",71,94,79,134,81,97
"b2511",845,942,818,1219,862,945
"b2512",1379,1506,1274,1804,1410,1656
"b2513",726,783,732,1071,768,905
"b2514",1841,1985,1786,2526,1785,2222
"b2515",1113,1224,1081,1910,1381,1648
"b2516",949,953,775,1402,905,1217
"b2517",415,457,324,527,389,467
"b2518",739,763,488,520,390,525
"b2519",50,68,54,128,108,119
"b2520",465,504,460,1544,962,1221
"b2521",181,217,247,493,329,443
"b2522",367,321,208,311,185,341
"b2523",831,701,513,640,410,712
"b2524",176,147,100,107,92,161
"b2525",411,404,242,367,263,381
"b2526",1442,1328,752,1258,861,1177
"b2527",541,437,270,573,288,430
"b2528",1067,1008,630,1537,962,1347
"b2529",1614,1571,884,2354,1445,2059
"b2530",3544,3139,1884,5166,2830,4244
"b2531",1388,1129,730,2658,1548,1825
"b2532",422,539,396,747,539,606
"b2533",545,488,351,559,395,472
"b2534",14,16,15,20,15,11
"b2535",50,58,59,61,45,49
"b2536",71,105,50,115,57,75
"b4706",0,0,0,0,0,0
"b2537",140,130,108,191,142,162
"b2538",103,95,91,193,125,128
"b2539",23,29,19,37,19,38
"b2540",9,11,9,22,10,19
"b2541",24,35,21,28,35,35
"b2542",53,57,49,101,51,78
"b2543",44,46,36,62,36,50
"b2544",50,53,36,92,49,57
"b2545",38,53,40,86,50,42
"b2546",9,14,9,14,14,14
"b2547",16,12,17,37,22,26
"b2548",14,14,6,13,11,9
"b2549",38,50,24,51,32,37
"b2550",70,55,46,95,62,65
"b2551",6549,7172,6447,14533,11090,13084
"b2552",266,270,255,439,262,359
"b2553",168,168,155,282,205,236
"b2554",184,206,185,297,199,259
"b2555",157,168,147,225,185,241
"b2556",159,159,131,242,174,206
"b2557",4547,4628,3794,8013,5913,6769
"b2558",78,84,45,99,64,69
"b2559",102,97,87,164,101,132
"b2560",121,129,105,196,130,147
"b2561",40,43,37,71,42,45
"b2562",48,30,29,48,29,57
"b4687",24,26,20,25,13,14
"b2563",182,184,196,292,187,265
"b2564",447,490,507,673,543,667
"b2565",188,227,176,315,287,298
"b2566",761,802,673,1324,980,1081
"b2567",397,373,315,607,395,473
"b2568",761,890,641,1091,712,831
"b2569",1573,1652,1389,2339,1608,2027
"b2570",202,217,155,406,241,301
"b2571",772,879,755,1612,1166,1484
"b2572",1262,1637,1379,3012,2256,2447
"b2573",587,728,533,1344,970,1057
"b4725",39,27,32,40,37,25
"b2574",374,585,416,500,362,399
"b2575",98,120,86,119,88,102
"b2576",602,557,467,915,576,848
"b2577",69,85,64,122,62,113
"b2578",23,29,27,30,33,29
"b2579",584,970,1837,258,242,318
"b2580",267,313,286,377,304,330
"b2581",598,545,533,620,452,571
"b2582",132,142,110,193,143,174
"b2583",88,68,52,124,79,121
"b2584",236,243,192,425,327,341
"b2585",1067,1029,977,1319,904,1128
"b2586",681,655,474,653,380,551
"b2587",6140,6343,5482,6807,4927,5401
"b2592",2125,2317,2301,3406,2721,3718
"b2593",201,209,152,303,215,193
"b2594",371,354,323,544,349,462
"b2595",1869,2187,2074,3421,2400,2922
"b2597",842,1091,1230,1890,1211,1895
"b2598",6,15,9,16,11,12
"b2599",1609,1825,1458,1166,810,1057
"b2600",1159,1754,1030,1143,1314,895
"b2601",2010,2708,1762,1756,1941,1255
"b2602",16,18,11,35,26,29
"b2603",86,72,75,150,102,112
"b2604",64,87,76,120,98,106
"b2605",132,124,118,164,91,134
"b2606",3817,4067,3217,3543,2725,3228
"b2607",7838,9274,7270,8373,5995,7360
"b2608",6274,6695,5273,6175,4541,5531
"b2609",1986,1914,1298,1792,1347,1526
"b2610",929,990,864,1624,1165,1382
"b2611",224,190,179,393,297,360
"b4461",333,307,254,596,431,491
"b2614",963,1084,1006,1876,1422,1726
"b2615",306,315,290,493,355,458
"b2616",170,251,224,320,228,288
"b2617",515,420,535,811,568,648
"b2618",147,178,187,349,209,265
"b2619",159,133,130,256,183,193
"b2620",473,534,466,817,555,629
"b2622",261,308,350,393,324,344
"b2623",44,64,62,111,71,76
"b2624",6,2,2,2,0,4
"b2625",29,21,10,16,15,25
"b2626",6,8,4,5,11,9
"b2627",283,316,246,657,422,524
"b2628",332,335,338,685,412,542
"b2629",7,14,7,12,4,6
"b2630",502,538,476,491,368,444
"b2631",146,149,142,208,120,167
"b2632",23,12,6,32,28,19
"b2633",11,13,11,19,3,15
"b2634",10,13,4,16,11,14
"b2635",0,4,1,7,4,1
"b2636",4,7,10,8,8,8
"b2637",28,40,32,38,35,24
"b2638",27,54,34,70,41,48
"b2642",117,150,97,384,242,240
"b2643",3,6,9,16,7,7
"b2644",2,4,3,4,3,5
"b4548",1,2,2,6,2,4
"b2645",3,8,6,7,7,3
"b2646",6,12,3,16,4,8
"b2647",223,189,184,304,170,241
"b2649",2,5,5,13,7,2
"b2650",2,9,0,5,0,1
"b2659",63,55,60,87,53,82
"b2660",97,83,72,104,60,90
"b2661",198,188,166,254,125,159
"b2662",181,178,173,222,155,227
"b2663",72,49,56,67,44,38
"b2664",143,102,121,167,102,125
"b2665",461,390,466,498,350,374
"b2666",48,33,19,51,32,28
"b2667",20,24,12,27,12,24
"b2668",146,137,161,179,137,157
"b2669",864,874,757,551,498,656
"b2670",17,35,14,36,32,21
"b2671",44,39,25,59,41,39
"b2672",350,286,267,282,191,194
"b2673",431,429,420,1544,974,1228
"b2674",689,770,772,2414,1750,2126
"b2675",3668,3913,3367,11893,7845,9521
"b2676",1052,1257,929,3768,2568,3086
"b2677",389,436,289,794,476,772
"b2678",218,216,189,495,331,438
"b2679",351,322,294,719,425,609
"b2682",386,374,359,698,447,564
"b2683",198,158,147,251,229,271
"b2684",538,537,583,1071,724,1081
"b2685",282,302,270,308,195,269
"b2686",233,245,177,259,188,179
"b2687",1146,996,1093,1997,1447,1594
"b2688",1148,1361,1258,1681,1137,1422
"b2689",161,206,161,191,141,190
"b2690",146,150,166,166,101,163
"b2696",876,940,895,1120,829,945
"b2697",4723,4935,4535,7305,4972,6202
"b2698",17,18,11,28,18,16
"b2699",1232,1383,1298,2128,1529,1819
"b2700",89,106,100,139,101,130
"b2701",181,148,169,380,251,306
"b2702",26,26,16,24,9,18
"b2703",25,47,64,38,31,34
"b2704",18,25,13,5,12,15
"b2705",51,67,48,80,52,56
"b2706",19,11,8,31,14,16
"b2707",103,95,79,147,110,140
"b2708",121,117,105,249,159,211
"b2709",108,129,107,286,181,219
"b2710",33,36,27,873,566,521
"b2711",15,22,19,455,272,294
"b2712",83,81,82,150,106,114
"b2713",15,10,9,17,17,18
"b2714",175,197,193,304,184,275
"b2715",35,28,38,85,41,63
"b2716",61,66,44,118,53,70
"b2717",57,66,72,105,81,82
"b2718",17,30,19,37,17,23
"b2719",17,18,12,25,30,23
"b2720",8,5,8,12,3,7
"b2721",19,22,10,34,25,35
"b2722",6,9,2,8,4,6
"b2723",8,12,10,20,10,17
"b2724",11,9,1,5,4,5
"b2725",0,2,1,2,0,3
"b2726",6,3,8,4,6,5
"b2727",28,37,76,53,33,51
"b2728",11,13,10,4,8,9
"b2729",135,178,181,152,130,97
"b2730",60,53,55,111,70,92
"b2731",92,95,110,135,69,114
"b2732",12,11,8,18,12,13
"b2733",544,544,531,980,696,859
"b2734",13,11,9,24,16,14
"b2735",81,102,73,184,101,123
"b2736",9,15,11,17,10,13
"b2737",26,35,20,39,33,37
"b2738",5,15,15,18,8,10
"b2739",19,30,25,47,21,37
"b2740",33,43,23,41,23,33
"b2741",6998,7765,8458,11512,8322,9920
"b2742",6177,6371,6334,10396,6863,8813
"b2743",339,318,275,486,312,401
"b2744",423,410,386,597,456,535
"b2745",538,531,453,628,499,563
"b2746",153,213,183,245,201,202
"b2747",293,279,235,287,216,285
"b2748",233,210,170,286,170,217
"b2749",349,339,242,573,382,460
"b2750",780,744,512,1393,1039,1100
"b2751",3144,3149,1919,5407,4175,4299
"b2752",2086,1777,1111,3292,2470,2381
"b2753",143,139,114,214,159,204
"b2754",41,22,19,49,30,33
"b2755",43,64,76,93,69,96
"b2756",38,57,47,75,55,41
"b2757",35,40,33,81,39,52
"b2758",40,43,25,66,37,45
"b2759",10,14,13,26,10,17
"b2760",23,32,33,35,22,35
"b2761",43,51,37,89,44,46
"b2762",1140,1002,664,1287,1044,1241
"b2763",2511,2346,1471,2812,2142,2580
"b2764",2660,2093,1252,2594,1993,2272
"b2765",54,45,34,55,28,34
"b2766",26,22,24,46,30,34
"b2767",1,0,3,15,5,5
"b2768",10,14,6,21,10,16
"b2769",12,7,14,21,21,32
"b2770",5,12,7,18,10,8
"b2771",4,12,6,13,6,8
"b4463",11,22,12,23,15,20
"b2774",2,0,1,6,0,2
"b2775",19,20,12,33,16,22
"b2776",20,21,21,38,20,34
"b2777",160,163,156,247,170,202
"b4682",0,3,0,1,0,0
"b2778",8,14,3,13,4,8
"b2779",10209,10577,10796,12987,9583,9996
"b2780",2356,2312,1915,2237,1740,1941
"b2781",293,313,230,603,350,428
"b2782",129,118,135,232,163,226
"b2783",102,106,109,176,128,154
"b2784",1273,1320,1251,2308,1715,2098
"b2785",232,235,228,338,280,306
"b2786",323,282,285,515,355,463
"b2787",74,94,61,142,80,106
"b2788",24,36,36,46,36,30
"b2789",8,17,6,23,12,11
"b2790",162,204,193,242,149,219
"b2791",111,101,82,121,83,88
"b2792",43,43,28,40,29,38
"b2793",162,168,141,288,169,211
"b2794",247,258,197,428,303,366
"b2795",886,1051,926,1491,1051,1249
"b2796",256,252,266,317,255,277
"b2797",157,159,136,159,105,134
"b2798",72,77,60,106,78,102
"b2799",65,46,46,102,69,113
"b2800",8,9,17,20,12,14
"b2801",8,9,5,21,7,10
"b2802",40,44,33,48,41,59
"b2803",61,51,57,88,47,75
"b2804",103,153,111,249,168,189
"b2805",126,116,132,269,205,229
"b2806",343,316,290,522,368,532
"b2807",38,62,30,72,60,71
"b2808",143,173,106,216,160,206
"b2809",96,79,83,93,72,74
"b2810",206,216,168,311,204,301
"b2811",125,114,127,193,126,177
"b2812",198,234,187,330,242,247
"b2813",226,248,229,452,353,421
"b2817",264,268,232,413,308,337
"b2818",876,799,464,1058,767,549
"b2819",338,364,248,634,479,497
"b2820",606,738,465,1260,815,1060
"b2821",409,503,355,684,521,639
"b2822",555,607,556,806,614,734
"b2823",19,19,17,37,15,18
"b2824",5,10,5,21,11,11
"b2825",10,9,11,25,12,18
"b2826",7,4,9,6,3,4
"b2827",696,696,588,1064,740,874
"b2828",515,458,460,652,453,520
"b2829",1530,1616,1459,2955,2177,2544
"b2830",605,642,531,1104,731,854
"b4610",8,11,4,20,7,13
"b2831",70,65,61,181,129,166
"b2832",118,112,104,183,117,149
"b2833",95,85,97,142,68,98
"b2834",726,660,787,824,620,833
"b2835",145,188,116,160,135,131
"b2836",277,337,288,419,321,304
"b2837",231,285,196,432,288,381
"b2838",541,544,407,929,635,815
"b2839",61,99,64,151,67,123
"b2840",185,204,198,346,269,266
"b2841",71,75,46,93,71,91
"b2842",41,43,26,65,55,82
"b2843",35,33,25,50,31,45
"b2844",183,225,180,339,213,313
"b2845",23,34,27,39,26,34
"b2846",12,19,13,19,11,12
"b2847",11,13,15,25,19,14
"b2848",4,11,7,13,5,8
"b4683",1,1,0,2,2,2
"b2849",3,9,2,3,2,4
"b2851",2,2,3,3,1,2
"b2852",14,11,5,14,4,5
"b2853",3,3,4,4,1,1
"b2860",48,49,48,66,38,60
"b2861",8,6,3,8,2,8
"b2863",41,37,29,31,31,38
"b2865",150,216,210,417,248,298
"b2866",38,49,32,72,61,87
"b2867",23,24,17,29,35,29
"b2868",11,11,13,19,15,15
"b2869",58,75,56,108,57,114
"b2870",8,11,8,8,9,6
"b2871",15,13,11,33,21,25
"b2872",24,22,8,30,29,27
"b2873",23,20,15,30,12,24
"b2874",26,34,24,61,37,38
"b2875",47,44,42,71,43,79
"b2876",4,12,6,20,10,16
"b2877",12,22,16,20,7,19
"b2878",40,36,25,68,53,49
"b2879",11,7,5,5,5,10
"b2880",8,10,15,20,18,13
"b2881",63,98,55,109,70,70
"b2882",30,21,32,55,41,50
"b2883",71,80,91,112,91,120
"b4464",47,47,51,67,53,50
"b2886",15,19,8,23,10,16
"b2887",26,25,20,29,31,14
"b2888",18,10,1,14,9,10
"b4684",1,3,1,0,0,0
"b4753",0,0,0,0,1,0
"b2889",59,61,56,69,50,72
"b2890",3132,3418,3149,4794,3393,4196
"b2891",2099,2123,1915,2962,2182,2659
"b2892",546,620,486,956,731,868
"b2893",360,407,359,734,512,668
"b2894",298,345,220,573,347,424
"b2895",245,249,229,422,297,359
"b2896",115,124,101,196,125,209
"b2897",145,113,96,202,130,176
"b2898",813,842,870,1743,1314,1606
"b2899",589,812,584,493,371,429
"b2900",63,56,75,163,99,101
"b2901",818,946,929,1628,1162,1411
"b2902",62,87,63,98,69,100
"b2903",1199,1630,1082,2177,1788,1914
"b2904",252,279,223,349,265,332
"b2905",546,666,444,947,741,762
"b4754",2,4,4,5,1,5
"b2906",490,520,490,706,475,614
"b2907",564,563,508,846,607,770
"b2908",1294,1455,1283,2019,1466,1620
"b2909",537,567,550,779,606,682
"b2910",379,374,361,547,420,494
"b2912",105,120,78,137,89,106
"b4665",47,43,25,69,63,57
"b2913",14378,14563,14229,21275,14973,17892
"b2914",710,750,736,1750,1156,1429
"b2916",306,279,306,505,325,430
"b2917",28,33,33,49,36,50
"b2918",13,8,11,8,6,20
"b2919",15,14,19,30,21,10
"b2920",28,31,30,37,33,32
"b2921",38,51,41,59,28,29
"b2922",546,508,548,776,576,687
"b2923",75,52,68,88,50,66
"b2924",681,665,725,1728,1162,1363
"b2925",7007,7891,7700,11486,8582,9766
"b2926",6216,6607,6808,9347,6847,7745
"b2927",882,963,819,779,560,613
"b2928",108,137,103,210,132,163
"b2929",115,130,91,214,155,159
"b2930",27,25,11,26,24,23
"b4465",23,22,13,27,27,33
"b2933",11,18,2,19,10,6
"b2934",0,6,1,4,3,2
"b2935",6423,6935,6620,13169,9631,11238
"b2936",139,173,175,260,166,241
"b2937",291,289,238,239,162,204
